;word;type;meaning;usage;partition_date;file_name
0;sear into;verb;to have a strong unpleasant effect on someone's feelings or memories;The sound of 6AM morning from radio <> everybody's mind.;2023-12-13;dict8
1;hatch;verb;make plan;I <> a plan to avert being fool.;2023-12-13;dict8
2;antiquated;adj;old-fashioned, out of date.; When there's an emergency, pager is this <> piece of technology that lets doctors know they are needed.;2023-12-13;dict8
3;obsolete;adj;no longer used or needed, usually because something newer and better has replaced it;Typewriters have been rendered <> by computers.;2023-12-13;dict8
4;amputate;verb;to cut off part of the body;Doctors had to <> his leg below the knee.;2023-12-13;dict8
5;phase out;verb;to gradually stop using something;You should phase social media out. It costs a lot of time.;2023-12-13;dict8
6;unveil;verb;to make something secret known;The president’s new policy was <> at the press conference.;2023-12-13;dict8
7;pervasive;adj;present or noticeable in every part of a thing or place;The smell of diesel is <>. I have to open the window to make it better.;2023-12-13;dict8
8;vanquish;verb;to defeat something completely;He <> disease to continue living.;2023-12-13;dict8
9;tangled up in;idiom;be involved in something bad;I was not about to <> in their argument.;2023-12-13;dict8
10;disruptive;adj;causing trouble and therefore stopping something from continuing as usual;The teacher said <> behavior would not be tolerated.;2023-12-13;dict8
11;succint;adj;said in a clear and short way, expressing what needs to be said without unnecessary words;Because the pager has limitation on words, you have to be <>.;2023-12-13;dict8
12;potent;adj;very powerful, forceful, or effective;Controlling the way ppl communicate with your, is the <> form of power.;2023-12-13;dict8
13;oppressive;adj;causing people to feel worried and uncomfortable, like overwhelmed atmostphere;This make room <>. Everybody's silent.;2023-12-13;dict8
0;bailout;noun;the process of saving a company, plan, or other thing from failing by providing lots of money;Three years of huge losses forced the bank to seek a government <>.;2023-12-16;dict9
1;spiel;noun;a speech, esp. one that is long and spoken quickly and is intended to persuade the listener about something;I gave my <> about how wonderful our universities were and so on.;2023-12-16;dict9
2;codify;verb;Organize and record existing rules;The essential function of our organization is to <> best banking practice.;2023-12-16;dict9
3;obnoxious;adj;very unpleasant or offensive;Can’t you express your opinions without being <>?;2023-12-16;dict9
4;reenact;verb;to repeat the actions of an event that happened in the past as a hobby or as a performance;Like, my twin sisters used to <> this one commercial over and over when they were 7 years old.;2023-12-16;dict9
5;grumpy;adj;easily annoyed and complaining;Women's always <> on their period.;2023-12-16;dict9
6;gut feeling;noun;a strong belief about someone or something that cannot completely be explained and does not have to be decided by reasoning;I have a gut feeling that the relationship won't last.;2023-12-16;dict9
7;imitate;verb;to behave in a similar way to someone or something else, or to copy the speech or behaviour, etc. of someone or something;My four-year-old daughter is always trying to <> her older sister.;2023-12-16;dict9
8;ubiquitous;adj;seeming to be everywhere;People always want to make their ads <>.;2023-12-16;dict9
9;self-reliant;adj;not needing help or support from other people;Even when he has no super human power. Batman's a <> hero. He needs nobody.;2023-12-16;dict9
10;compelling;adj;If a reason, argument, etc. is <>, it makes you believe it or accept it because it is so strong;That's a <> evidence.Everybody has to buy it.;2023-12-16;dict9
11;apex;noun;the highest point or top of a shape or object;And by using those go-go years, he reach the <> of his career.;2023-12-16;dict9
12;recite;verb;to say a piece of writing aloud from memory;You learned them but you're not alble to <> the knowledge in working place. Then, your useless.;2023-12-16;dict9
0;catalyze;verb;to make a chemical reaction happen or happen more quickly by acting as a catalyst,(slang) to make something start happening or start being successful;Will this be enough to <> our luv?;2023-12-22;dict12
1;hivemind;noun;the opinions or thoughts of a group of people, especially internet users, considered together, internet jargon;Some of the ideas were culled from the Twitter collective <>.;2023-12-22;dict12
2;notoriously;adv;in a way that is famous for something bad;Yah, you acted as if i was <> fucked-up boy.;2023-12-22;dict12
3;echelon;noun;(work place) rank or position within an organization, company or profession;Those guys is senior <> in our bank. They're higher position than Junior.;2023-12-22;dict12
4;scalding;adj;(water) extremly hot, (critism) strong or violent;No. It's not a lukewarm coffee, it's <>. I burnt myself.;2023-12-22;dict12
5;be roasted on;idiom;be made target of some joke, others have made jokes or witty remarks at their expense;McManaman made himself has gotten <> there after he missed penalty.;2023-12-22;dict12
6;gnarly;adv;(slang) used to describe something extreme, especially something that is very dangerous and exciting;"The waves were what surfers would call ""pretty <>"".";2023-12-22;dict12
7;happenstance;noun;chance or a chance situation, especially one producing a good result;By an intriguing <>, they're both at Paris.;2023-12-22;dict12
8;precaution;noun;an action that is done to prevent something unpleasant or dangerous happening;They failed to take the necessary <> to avoid infection. So, they got flu.;2023-12-22;dict12
9;mildly;adv;slightly, gently;I was <> surprised to see him here.;2023-12-22;dict12
10;amusing;adj;entertaining and funny;'Why do u laugh so hard?' - 'Nah, just so <> to see people's being so hectic. I feel like being in conceits. I'm rich';2023-12-22;dict12
11;periphery;noun;the less important part of a group or activity;Many women feel they are being kept on the <> of the armed forces.;2023-12-22;dict12
12;preposterous;adj;very silly or stupid;The very idea is <>! How can u come up with a ridiculous idea like that?;2023-12-22;dict12
13;stir;verb;to mix a liquid or other substance by moving an object such as a spoon in a circular pattern;Before eating chaos, u have to <> the bowl a bit. It's so scalding.;2023-12-22;dict12
14;confrontation;noun;a fight or argument;We never argue. We just want to advert <> as much as we can.;2023-12-22;dict12
15;tenured;adj;having been given tenure (= the right to remain permanently in a job, usually one in education);He's a <> professor in my college, he gained many achievements and never make any students aggrieved.;2023-12-22;dict12
16;repercussion;noun;(usually negative) effect that an action, event, or decision has on something;The nation's political crisis is having economic <>.;2023-12-22;dict12
17;dread;adj;opposite to being thrilled;I was very stressed. I was feeling dread because I had no idea what information they had.;2023-12-22;dict12
18;petition;noun;a document signed by a large number of people demanding or asking for some action from the government or another authority;Ricon all signed <> to rip off all Messi's ballon dor.;2023-12-22;dict12
0;bedrock;noun;the main principles on which something is based;Some people believe that the family is the <> of society.;2023-12-22;dict13
1;allude to;verb;to mention someone or something without talking about him, her, or it directly;She mentioned some trouble that she'd had at home and I guessed she was <> her son.;2023-12-22;dict13
2;seminal;adj;containing important new ideas and having a great influence on later work;He has a <> idea about how we can change the whole system.;2023-12-22;dict13
3;trajectory;noun;the curved path that an object follows after it has been thrown or shot into the air;All that childhood experiences shape the <> of your life.;2023-12-22;dict13
4;manifest;verb;(+ in) to show something clearly, through signs or actions;She clearly <> her love in her actions. She follows him all the time.;2023-12-22;dict13
5;spring;verb;to move quickly and suddenly towards a particular place;Yeh, i got messages from him and <> out of bed almost immediately.;2023-12-22;dict13
6;gamut;noun;a range of different things or people;I can date with the <> of people, from blonde to conventional one.;2023-12-22;dict13
7;accrue;verb;to increase in number or amount over a period of time;interest will be automatically <> to his bank account, unless the bankcrupt.;2023-12-22;dict13
8;constitute;verb;to form or make something;The U18 constitute nearly 25 percent of the town's population.;2023-12-22;dict13
9;unprecedented;adj;never having happened or existed in the past;How they make Remondetada is <>. No club can win with that disadvatanges.;2023-12-22;dict13
10;engulf;verb;to surround and cover completely;Sadness <> my soul. I can't escape from the fact that she's gone.;2023-12-22;dict13
11;underway;adj;if something <>, it's happening;Our project is <>. We made first move.;2023-12-22;dict13
12;immune system;noun;the cells and tissues in the body that make it able to protect itself against infection;Vitamin C can better your <>. Greater <>, better precaution for u.;2023-12-22;dict13
13;placebo;noun;a substance given to someone who is told that it is a particular medicine, either to make that person feel as if they are getting better or to compare the effect of the particular medicine when given to others;Your <> is more because ur a matured men. You only need this quantity to get out of this sick.;2023-12-22;dict13
